o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"ARE","GTM",0,1,1,0,0
"ARE","GUY",0,1,1,0,0
"ARE","HND",0,1,1,0,0
"ARE","HRV",0,1,1,0,0
"ARE","HTI",0,1,1,0,0
"ARE","HUN",0,0.999999985683821,0.999999999743284,20,10
"ARE","IDN",0,1,1,0,0
"ARE","IND",0,1,1,0,0
"ARE","IRL",0,0.999999954037526,0.999999999703322,102,22
"ARE","IRN",0,1,1,0,0
"ARE","IRQ",0,1,1,0,0
"ARE","ISL",0,1,0.999999999995566,0,1
"ARE","ISR",0,1,1,0,0
"ARE","ITA",0,0.99999998004151,0.999999998844877,46,50
"ARE","JAM",0,1,1,0,0
"ARE","JOR",0,1,1,0,0
"ARE","JPN",0,0.999999999441653,0.999999999936429,4,7
"ARE","KAZ",0,1,1,0,0
"ARE","KEN",0,1,1,0,0
"ARE","KGZ",0,1,1,0,0
"ARE","KHM",0,1,1,0,0
"ARE","KWT",0,1,1,0,0
"ARE","LAO",0,1,1,0,0
"ARE","LBN",0,1,1,0,0
"ARE","LBR",0,1,1,0,0
"ARE","LBY",0,1,1,0,0
"ARE","LCA",0,1,1,0,0
"ARE","LKA",0,1,1,0,0
"ARE","LSO",0,1,1,0,0
"ARE","LTU",0,1,1,0,0
"ARE","LUX",0,0.99999999988342,1,2,0
"ARE","LVA",0,1,1,0,0
"ARE","MAR",0,1,1,0,0
"ARE","MDA",0,1,1,0,0
"ARE","MDG",0,1,1,0,0
"ARE","MDV",0,1,1,0,0
"ARE","MEX",0,1,1,0,0
"ARE","MKD",0,1,1,0,0
"ARE","MLI",0,1,1,0,0
"ARE","MLT",0,1,1,0,0
"ARE","MMR",0,1,1,0,0
"ARE","MNG",0,1,1,0,0
"ARE","MOZ",0,1,1,0,0
"ARE","MRT",0,1,1,0,0
"ARE","MUS",0,1,1,0,0
"ARE","MWI",0,1,1,0,0
"ARE","MYS",0,1,1,0,0
"ARE","NAM",0,1,1,0,0
"ARE","NER",0,1,1,0,0
"ARE","NGA",0,1,1,0,0
"ARE","NIC",0,1,1,0,0
"ARE","NLD",0,0.999999698241217,0.999999996141822,334,137
"ARE","NOR",0,0.999999979469366,0.99999999954865,53,38
"ARE","NPL",0,1,1,0,0
"ARE","NZL",0,1,1,0,0
"ARE","OMN",0,1,1,0,0
"ARE","PAK",0,1,1,0,0
"ARE","PAN",0,1,1,0,0
"ARE","PER",0,1,1,0,0
"ARE","PHL",0,1,1,0,0
"ARE","PNG",0,1,1,0,0
"ARE","POL",0,0.999999999279862,1,3,0
"ARE","PRT",0,0.999999998896684,0.999999999931719,6,5
"ARE","PRY",0,1,1,0,0
"ARE","QAT",0,1,1,0,0
"ARE","ROM",0,1,1,0,0
"ARE","RWA",0,1,1,0,0
"ARE","SAU",0,1,1,0,0
"ARE","SDN",0,1,1,0,0
